# Iterations, accuracy
0.000000000000000000e+00,8.880000710487365723e-01
5.128205128205127949e+03,8.865000605583190918e-01
1.025641025641025590e+04,8.865000605583190918e-01
1.538461538461538294e+04,8.885000348091125488e-01
2.051282051282051179e+04,8.880000710487365723e-01
2.564102564102564065e+04,8.885000348091125488e-01
3.076923076923076587e+04,8.895000219345092773e-01
3.589743589743589837e+04,8.890000581741333008e-01
4.102564102564102359e+04,8.890000581741333008e-01
4.615384615384614881e+04,8.905000686645507812e-01
5.128205128205128131e+04,8.880000710487365723e-01
5.641025641025640653e+04,8.915000557899475098e-01
6.153846153846153175e+04,8.905000686645507812e-01
6.666666666666665697e+04,8.900000452995300293e-01
7.179487179487179674e+04,8.905000686645507812e-01
7.692307692307692196e+04,8.905000686645507812e-01
8.205128205128204718e+04,8.910000324249267578e-01
8.717948717948717240e+04,8.910000324249267578e-01
9.230769230769229762e+04,8.910000324249267578e-01
9.743589743589743739e+04,8.915000557899475098e-01
1.025641025641025626e+05,8.915000557899475098e-01
1.076923076923076878e+05,8.885000348091125488e-01
1.128205128205128131e+05,8.895000219345092773e-01
1.179487179487179383e+05,8.900000452995300293e-01
1.230769230769230635e+05,8.910000324249267578e-01
1.282051282051282033e+05,8.900000452995300293e-01
1.333333333333333139e+05,8.905000686645507812e-01
1.384615384615384683e+05,8.905000686645507812e-01
1.435897435897435935e+05,8.900000452995300293e-01
1.487179487179487187e+05,8.905000686645507812e-01
1.538461538461538439e+05,8.905000686645507812e-01
1.589743589743589691e+05,8.910000324249267578e-01
1.641025641025640944e+05,8.915000557899475098e-01
1.692307692307692196e+05,8.915000557899475098e-01
1.743589743589743448e+05,8.920000195503234863e-01
1.794871794871794700e+05,8.920000195503234863e-01
1.846153846153845952e+05,8.920000195503234863e-01
1.897435897435897205e+05,8.920000195503234863e-01
1.948717948717948748e+05,8.920000195503234863e-01
2.000000000000000000e+05,8.920000195503234863e-01
